CUSTOMER_CODE|CUSTOMER_CODE_DESC|BILL_NUMBER|BILL_DATE|PMH_CATEGORY|PMH_CATEGORY_DESC|MONTH|USL_OUTLET_CODE|USL_OUTLET_CODE_DESC|CCF_REASON|CCF_DESC|SALESMAN_CODE|SALESMAN_CODE_DESC|SECONDARY_CHANNEL_CODE|SECONDARY_CHANNEL_CODE_DESC|CBU_CODE|CBU_CODE_DESC|BOM_HEADER_CBU_CODE|BOM_HEADER_CBU_CODE_DESC|SKU7_CODE|SKU7_CODE_DESC|BOM_HEADER_SKU7_CODE|BOM_HEADER_SKU7_CODE_DESC|SALES_DELIVERY_DATE|TOTAL_SALES_VALUE_LKR|TOTAL_SALES_VALUE_GSV|TOTAL_SALES_QTY_CASES|TOTAL_SALES_QTY_KGS|CHANNEL_CODE|CHANNEL_CODE_DESC|BASEPACK_CODE
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94010274|Lakme Absolute Prfct Rdnce Day Crm x 50g|||||||2024-06-30|0|38071.02878|1|2|||43436
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94010276|Lakme Absolte Prfct Rdnce Nght Crm x 50g|||||||2024-06-30|0|33390.0|1|1|||43437
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94010272|Lakme Hydra Pro Overnight Gel x 50g|||||||2024-06-30|0|28620.0|1|1|||43435
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2026|Skin Cleansing|20246|||||||||94010487|Lux Glowing Skin x 125ml|||||||2024-06-30|0|425945.1|52|314|||43536
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2026|Skin Cleansing|20246|||||||||94010235|Lux Soft Skin*240ml|||||||2024-06-30|0|920995.575|36|425|||43460
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2026|Skin Cleansing|20246|||||||||94010486|Lux Fragrant Skin x 125ml|||||||2024-06-30|0|503544.776|80|490|||43535
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94010389|Vaseline Ice Cool Gel Creme*400ml|||||||2024-06-30|0|0.0|0|0|||43516
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94010388|Vaseline Ice Cool Gel Creme*100ml|||||||2024-06-30|0|21426.94418|4|10|||43514
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2026|Skin Cleansing|20246|||||||||94010032|PB Pure & Gentle Multipack 350g|||||||2024-06-30|0|3909207.515|268|3383|||42609
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2026|Skin Cleansing|20246|||||||||94010045|PB Bedtime Multipack 350g|||||||2024-06-30|0|1013625.0|52|657|||42804
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2026|Skin Cleansing|20246|||||||||94010047|PB Active Floral Multipack 350g|||||||2024-06-30|0|2807848.158|193|2434|||42610
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1117|Oral Care|20246|||||||||94012492|Signal ST x 200g|||||||2024-06-30|0|2188428.3|160|1533|||42726
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2026|Skin Cleansing|20246|||||||||94010043|PB Aloe Vera & Neem Multipack 350g|||||||2024-06-30|0|1837.29429|0|1|||43364
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2026|Skin Cleansing|20246|||||||||94010041|PB Venivel & Turmeric Multipack 350g|||||||2024-06-30|0|12650.04|1|8|||43363
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1119|Home & Hygiene|20246|||||||||94007997|Vim Liquid 250ml|||||||2024-06-30|0|1576962.0|145|1801|||42800
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CF1812|Functional Nutrition|20246|||||||||94010632|Horlicks Original BIB x 200g|||||||2024-06-30|0|0.0|0|0|||43548
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CF1812|Functional Nutrition|20246|||||||||94010334|Viva Original Pouch x600g|||||||2024-06-30|0|6171333.78|458|4395|||43471
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94009356|VASELINE DEEP RESTORE 200ML|||||||2024-06-30|0|20606.4|1|5|||43158
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94009344|Vaseline Cocoa Glow 200ml|||||||2024-06-30|0|463240.5079|22|108|||41493
